        1	2022-10-03 09:01:00	1	255	1	0
   201798	2022-10-03 09:01:32	1	255	1	0
   201798	2022-10-03 09:01:41	1	255	1	0
   201798	2022-10-03 09:01:44	1	255	1	0
        1	2022-10-03 09:04:26	1	255	1	0
        1	2022-10-03 09:04:44	1	255	1	0
        1	2022-10-03 09:07:09	1	255	1	0
        2	2022-10-03 09:08:40	1	255	1	0
        3	2022-10-03 09:10:01	1	255	1	0
        2	2022-10-03 09:17:02	1	255	1	0
        2	2022-10-03 09:21:12	1	255	1	0
        1	2022-10-03 09:23:43	1	255	1	0
   100119	2022-10-03 09:24:54	1	255	1	0
        1	2022-10-03 10:49:16	1	255	1	0
        1	2022-10-03 10:56:43	1	255	1	0
        1	2022-10-03 11:10:00	1	255	1	0
        2	2022-10-03 11:15:09	1	255	1	0
   201798	2022-10-03 12:13:17	1	255	1	0
        4	2022-10-03 13:13:08	1	255	1	0
        1	2022-10-03 13:44:05	1	255	1	0
        2	2022-10-03 19:24:23	1	255	1	0
        4	2022-10-04 08:26:30	1	255	1	0
        4	2022-10-04 12:58:11	1	255	1	0
        3	2022-10-04 13:07:18	1	255	1	0
        1	2022-10-04 13:15:44	1	255	1	0
        1	2022-10-04 13:49:06	1	255	1	0
        5	2022-10-04 15:10:22	1	255	1	0
        6	2022-10-04 15:11:02	1	255	1	0
        7	2022-10-04 15:11:34	1	255	1	0
        6	2022-10-04 15:17:49	1	255	1	0
   100119	2022-10-04 15:18:43	1	255	1	0
        8	2022-10-04 15:19:38	1	255	1	0
        7	2022-10-04 15:24:54	1	255	1	0
        2	2022-10-04 15:29:21	1	255	1	0
        2	2022-10-04 15:34:50	1	255	1	0
        9	2022-10-04 15:35:48	1	255	1	0
   100119	2022-10-04 16:01:21	1	255	1	0
        4	2022-10-04 16:31:25	1	255	1	0
        1	2022-10-04 16:34:18	1	255	1	0
       10	2022-10-04 16:34:54	1	255	1	0
       10	2022-10-04 16:34:58	1	255	1	0
        3	2022-10-05 07:15:16	1	255	1	0
        5	2022-10-05 07:36:13	1	255	1	0
        5	2022-10-05 07:41:46	1	255	1	0
        6	2022-10-05 07:45:59	1	255	1	0
        7	2022-10-05 07:54:33	1	255	1	0
        4	2022-10-05 07:57:41	1	255	1	0
        1	2022-10-05 07:58:26	1	255	1	0
        8	2022-10-05 07:59:11	1	255	1	0
        7	2022-10-05 08:00:58	1	255	1	0
        4	2022-10-05 08:11:49	1	255	1	0
        4	2022-10-05 08:28:09	1	255	1	0
        1	2022-10-05 08:29:14	1	255	1	0
   100119	2022-10-05 08:30:43	1	255	1	0
        3	2022-10-05 08:32:21	1	255	1	0
        3	2022-10-05 12:18:30	1	255	1	0
        3	2022-10-06 07:29:12	1	255	1	0
        1	2022-10-06 09:57:15	1	255	1	0
        1	2022-10-06 10:22:45	1	255	1	0
        4	2022-10-06 11:34:05	1	255	1	0
        7	2022-10-06 11:34:32	1	255	1	0
        5	2022-10-06 11:34:53	1	255	1	0
   201798	2022-10-06 11:37:33	1	255	1	0
        6	2022-10-06 11:39:46	1	255	1	0
